"filename", "language", "Dart", "YAML", "JSON", "C++", "CMake", "Markdown", "Swift", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\services\ImagePicker\image_picker_data_source.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\services\ImagePicker\image_picker_mapper.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\services\ImagePicker\image_picker_repository.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\services\ImagePicker\image_picker_service.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\services\ServerService\server.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\departments\departmentController.dart", "Dart", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 184
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\departments\departmentDataSource.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 122
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\departments\departmentEntity.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\departments\departmentEntity.g.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 31
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\departments\departmentRepository.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 98
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\departments\presentation\presentationManager.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 88
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\departments\presentation\widgets\screen.dart", "Dart", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 219
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\employee_creator\productCreatorController.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 74
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\employee_creator\productCreatorDataSource.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\employee_creator\productCreatorRepository.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\employee_creator\product_creator_presentation\Widgets\Screen.dart", "Dart", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 176
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\employee_creator\product_creator_presentation\product_creator_presentation_manager.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 94
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productReport\productRepoEntity.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productReport\productRepoEntity.g.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 38
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productReport\productReportDataSource.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productReport\productReportRepo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\ProductEntity.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\ProductEntity.g.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 38
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\productMapper.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\productViewerController.dart", "Dart", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 192
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\productViewerDataSource.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 104
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\productViewerRepository.dart", "Dart", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\product_viewer_presentation\Widgets\Screen.dart", "Dart", 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 303
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\product_viewer_presentation\Widgets\custom_datacell_rows.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\productViewer\product_viewer_presentation\product_viewer_presentation_manager.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 92
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\presentation\Widgets\Screen.dart", "Dart", 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 430
